date,text,stars
9/13/2023,"Good mattress except size is smaller than advertised. 2 inch shorter in length and 2 inch in width. Making it look weird on my king bed. 
I am still hopeful it will stretch to size after a week or so coz I really like it and would hate to send it back.",3 out of 5 stars review
9/26/2023,It is nice . I wanted memory foam or gel foam but it works .,3 out of 5 stars review
3/12/2017,"I bought a queen sized mattress in mid 2012 and it was great at first however about 12 months ago it started to sag, I bought a mattress topper to try and increase its longevity but its now sagging too much, I can feel the springs and its hurting my back.  Id use this for a guest room maybe. However Im not too upset for the price I got a good mattress for a couple of years!",3 out of 5 stars review
2/15/2017,"I've had this bed for almost 4 years and for the first 3 it was great, but now it's sinking and there's this a hole in the mattress. I can't sleep at night because the springs are digging into my back. I tried to take some pictures, but I'm not sure you can see since it's a white mattress. :'(",3 out of 5 stars review
9/10/2014,I thought i was getting a good deal i orderd a queen size on roll back for 169.00 on the 5th. it came monday i was excited looking at the mattress it noticed it was a bit small for a queen i measured it. it was a full size sent in a queen box im not happy....i want the right size sent to me or my money back and you can not get it back in the box.. and i dont have a truck... very unhappy looking at the box that is in pieces it says 101lbs and my orders form says 71lbs,3 out of 5 stars review
12/22/2023,Its not really what I was expecting. You can definitely feel the springs a whole lot more than I thought given its a hybrid. I was hoping to not feel the metal when laying on it. The kids wont mind it as much but just know you can definitely feel the springs and top is not soft like you would expect.,3 out of 5 stars review
12/1/2023,"I don't undersrand the five-star reviews. You can literally feel the springs while laying on this mattress.

I did buy this for my 7-year-old son. He probably doesn't notice the springs like I do, because he is still so small, but I want it to last a while. It should be much better once I get a good mattress topper. 

I guess you get what you pay for, but I paid very similar for his twin-size bed that's now on his top bunk and it is lightyears better.

My final thoughts for anyone reading this review is just to be prepared to buy a mattress topper. The support is there from the pocket springs, but it lacks much needed cushion.

I guess you",3 out of 5 stars review
5/5/2020,"Giving this 3 stars because I didn't get to try it. Mattress arrived damaged. Box was tore up. Mattress had been smashed so badly that the packaging was ripped off, the mattress material torn and a spring was exposed.",3 out of 5 stars review
3/31/2021,Arrived late and package was broken into.,3 out of 5 stars review
8/9/2021,The mattress is good but it goes with a bug on it,3 out of 5 stars review
4/30/2016,"I ordered this mattress for myself, it was very uncomfortable for me. I would wake up with back pain and couldn't sleep. I gave it to my 20 year old son and he loves it, he said it the best mattress he has ever had. I just thought is was probably to firm for me. I guess it's an alright mattress for people who like a firm mattress",3 out of 5 stars review
10/22/2023,I let this mattress air for 72 hours as recommended it did expand to full capacity however the outer ridge of the bed is very hard the mattress itself is decent for the price I did however end up buying a mattress pad it absolutely fixed the problem the problem with this mattress is the coil system,3 out of 5 stars review
6/25/2013,"We bought this mattress as a replacement for a nice queen set that was old and causing my back to hurt. We didn't want to pay for a whole new set and hoped that just getting a new mattress would be enough. This mattress is a good value but after a few weeks we realized it's just not firm enough for us. We're returning it and getting something else but for a simple, cheap mattress it's fine and would be great for kids or guest rooms. I wish I would have bought a few of these for our kids bunk beds instead of the ones we have. Some reviews mentioned that it ""collapses"" when you sit on the sides but we didn't find this to be a problem. If you're looking for a high quality mattress just spend the extra money for something else but if you just n...",3 out of 5 stars review
7/26/2016,"The quality seems very good and it is very comfortable, on the firm side.  We have it in our guest bedroom so it will not get a lot of use so I expect it to serve us for a few years.  Even if it only lasted a year you would be money ahead just to buy one of these every year than pay $1,500+",3 out of 5 stars review
3/30/2011,"When I first got my mattress in a box, I thought there was no way a gueen size mattress was in that small of a box, but sure enough there was. They had sucked all the air out, so it looked small in the box , but it quickly fluffed up, and out, to a full size queen mattress. I have slept on it for a week now, and It doesn't sleep as well as I had hoped. One thing is, when you set on the side of the mattress it smashes down to about one inch. I did messure it, with nothing on it but sheets, and it does messure 8 full inches. When laying on it, it is very noisey, and goes flat under my weight. I am a 250lb person sleeping in it. I guess I could get use to it. Not sure yet, if I'm gonna replace it with a thicker more sturdy mattress, or not. It...",3 out of 5 stars review
