date,text,stars
3/14/2023,"100% Satisfied. works just as good as my Stanley Quencher, and my Simple Modern Trek. However, the straw situation is weird. 2/3 plastic and 1/3 silicone extender, that is tough to remove to clean. I tossed the it and used the straw from one of my others. Overall I highly recommend this, just get different straws for it. I got white because it was all my store had, but I plan on getting other colors!",5 out of 5 stars review
3/8/2023,Good item holds a lot of water came in handy the past few days we had some high temperatures and I was able to keep my water cold for more than six hours outside I love the color and it fits in my lunch box I like that the straw is so long it goes all the way to the bottom of the mug the outside of the mug never sweats it also kept my coffee hot on a one and a half hour drive with no spills great item would recommend to friends,5 out of 5 stars review
2/1/2024,"This cup is a gorgeous purple. My daughter got it as an early Valentine's Day gift. She put some jack %26 sally stickers on it and it looks like it was made that way! Sooo cute! It is rather large but it encourages her to drink her water at a fraction of the cost for a Stanley. Oh, and zero lead 👍🏼",5 out of 5 stars review
1/31/2024,"I love this tumbler and I have 40 oz Yetis and Stanley tumblers.  For this price, you can't beat this Ozark tumbler. I conducted an ice test on all three of these tumblers and even though the Stanley held ice SLIGHTLY longer, it was a tight race between the three.  The Ozark can hold its own against the mighty Stanley and Yeti!",5 out of 5 stars review
4/29/2023,"This cup is perfect. The handle. The tapered bottom that fits in car cup holders. THE COLOR! Who else has been obsessed with lavender purple? My most favorite thing about this cup though? Well obviously the silicone straw. I can't tell you how many times metal straws hit my teeth very hard. Now in the middle of the night when I need water, I don't almost chop a tooth. Also your beverage will stay cold for a good long while. I think I had some last almost 2 days and I don't put too much ice. I like that the outside doesn't get condensation!",5 out of 5 stars review
3/16/2023,"I found the ozark trail version before I was able to get my hands on a Stanley.   The ONLY difference is the OT cup doesn’t have the rubber grips on the handle and the top of the lid….and the straw has a silicone extender (which I prefer because I can kind of chew on it).
As far as being sturdy and keeping your drink cold/hot…they’re the exact same thing.  Same size.  Same everything
It’s a great dupe!",5 out of 5 stars review
1/23/2024,"Under $20 %26 as hot pink as can be. Ozark is just as good if not better than any cup you gotta wait in line for %26 I didn't pay $200-400 cup. Ordered from the warmth of my house,  delivered to my front door. I did order a different lid, Ozark 40 oz magnetic lid and it fit perfectly. Ordered a few more in different colors. Thank you, Walmart",5 out of 5 stars review
1/7/2024,"I love the way it was packaged and the little Ozark trail emblem in the straw. 
I haven't tried it with ice but I poured soda out of the fridge and it was still cold at least an hour later. And the seal is good so it did well not letting the soda become flat. 
I'm very happy with it. Love the handle and straw and feel of the coating on the outside.",5 out of 5 stars review
1/12/2024,"I love this cup! It looks absolutely ridiculous and I hate the trend, but it works to help you drink a lot of water. I can only carry it in my jeep, this is a HUGE cup! Had a friend laser mine to customize it. What I like more about this one than the trendy original is the straw, it's soft on the outside and hard on the inside. It just works well, and I like mine more than my girlfriend's $70 cup. Buy it!",5 out of 5 stars review
1/15/2024,"Decided to jump on the “pink tumbler bandwagon”, but didn't want to put on my boxing gloves or go broke buying another well known brand. I came across this on the website (Walmart) and ordered it. Very happy with it. Keeps my drinks cold all day (and night!) for half the price. The color is gorgeous. Would definitely recommend!",5 out of 5 stars review
