date,text,stars
12/30/2023,Walmart sends request to the company for a pick up return. I have scheduled 4 pick up and no one show up. What a waste of time. Inaccurate description of products. Can't get my money back from Walmart. They are telling me I have to keep scheduling a pick up for them to return my money.,1 out of 5 stars review
9/17/2020,"They came in ok, but after several months it started to bunch up.  Grandson put a cup on bed and OJ went everywhere.  It bunched up where in the center the springs was visible through the top cover.  Now its has bunched up in two spots and I will include pictures.  I contacted Zinus the company and after giving me the run around for over two weeks they made an executive decision to not send another mattress or a refund.  There people act like they have heard it all before, so don't buy this mattress.  Its terrible and now I have to buy a new mattress and it won't be zinus.  They don't know what customer service is about.  Dont't Buy.",1 out of 5 stars review
10/11/2023,"It lacks about 2 inches of mattress to cover the whole space of my ikea bed. Idk why but this is my first mattress with that issue, and I'm not the only one hear explaining this situation",1 out of 5 stars review
9/19/2023,Came with big yellow stain very unsatisfied! I contacted the seller and haven't heard anything. Why would a company sell people dirty stained up mattresses not okay smh,1 out of 5 stars review
9/17/2023,When opening I seen a yellow stain on the plastic thought it was only the plastic that was dirty. As I proceeded to open the plastic to see if it was the bed the yellow stain was on the bed.,1 out of 5 stars review
3/30/2021,the springs are messed up around the edges and is nothing but flat. you go to get up and just roll off of the side. you try to sleep anywhere other than directly in the middle and this bed will not work.,1 out of 5 stars review
3/30/2021,springs on the edges just collapse and go flat. if you go to get up then you just roll off the bed. if you sleep with a partner or anywhere other than in the middle you will roll off the ends.,1 out of 5 stars review
10/29/2020,my son got this bed and has not had it for a year and the springs are popping up out of it. Poking him in the back when he sleeps i would not recommend this bed.,1 out of 5 stars review
11/8/2023,I did not receive the correct mattress that I paid for. It's a completely different brand that I don't know about,1 out of 5 stars review
9/2/2023,It came with a yellow stain inside the plastic wrap. Looks like someone peed on it! DISGUSTING!!!!!!!!!!,1 out of 5 stars review
9/12/2020,11 months later ~ springs are coming thru (the mattress is on a low platform frame bed for a 10YO who weighs 68lb kid) very concerning,1 out of 5 stars review
2/11/2023,Springy not a hybrid mattress all springs. Does not fully open see pictures. Sags in the middle and no one has even slept on it yet.,1 out of 5 stars review
10/20/2020,Do not purchase. Mattress only last 6 months. Indents happen in this mattress. You wont get a refund either.,1 out of 5 stars review
8/9/2023,"No good no matched fotho 
Diferent delivery",1 out of 5 stars review
4/9/2021,A lot of bugs and ants on the mattress surface.,1 out of 5 stars review
12/9/2022,Small bugs found inside plastic wrapping. Absolutely disgusting. Glad I noticed it before I completely opened it.,1 out of 5 stars review
7/22/2021,"After one night sleeping on new bed my daughter's eyes  were almost swollen shut, day 5 her face red and swollen, day 10 and she is still crying in misery! What is in this mattress!!! I need a refund ASAP!!!",1 out of 5 stars review
8/21/2013,"I purchased this mattress in king size 1.5 years ago. Its warped. Ive attached a picture. If you weight 230 or more lbs you will warp this mattress. My fiance and I weight about 230 each, which in my opinion isnt incredibly overweight or anything, not enough to warp a mattress!! I mean, it was cheap, so I dont know what I expected.....but now its warped and you can tell its warped even with blankets on it. There is a hump in the middle.",1 out of 5 stars review
1/13/2024,Ordered and received a different mattress(poor quality compared to zinus). Assured right mattress would come if ordered again. Received another brand poor quality mattress for the 2nd time. Estes delivery company no shows every time I schedule a return(5 now)and Walmart is yet to do anything about it. Order if you want a wrong/poor quality mattress and want to deal with this insane return process.,1 out of 5 stars review
1/11/2024,This mattress is so soft and springy It is not good for anyone that has back issues. The description makes it sound like it is a comfortable bed it is not when you sit on it it goes flat almost flat it is horrible. consider buying another mattress don't waste your money. I now have to find another mattress and spend more money what am I going to do with this mattress?,1 out of 5 stars review
6/16/2022,Was delivered with a burn mark and I had to return and buy another from the store that was $50 more due to the time frame I needed the mattress for.,1 out of 5 stars review
11/14/2023,"I bought this horrible mattress, I asked for it to be returned two months ago and they still haven't given me my money back. Don't buy this mattress, especially if it's from them. I have been sleeping on the floor for more than two months due to your incompetence.",1 out of 5 stars review
11/14/2023,"Everytime I ordered a big ticket idem Walmart uses FedEx shipping which happens to be a nightmare when receiving my packages.. they give you a date for quick prompt delivery and then play games with you by using text communication asking you dozens of questions about your order when they already know precisely that your package has never left their location or hasn't been loaded on a delivery truck to be delivered but they send you text messages the evening prior saying that it will be delivered tomorrow between 7am and 3pm. it's very annoying.. smh
I wish Walmart wouldn't use them as much because They totally suck..",1 out of 5 stars review
11/10/2023,"I was excited for this to arrive. I ordered with enough time for my move but on the day it was supposed to arrive, I didn't receive anything. Next day, I was told it was delivered. Then told it got cancelled. Then finally told it was lost in transit. I think I could handle of this if it was communicated to me instead of me having to reach out to customer service for answers. Now I have to start the process all over again and sleep on the sofa until I find something.",1 out of 5 stars review
10/27/2023,"doesnt hold weight. nothing as described. flimsy, sinks in and can particularly fold in half after inflation. dont buy this product. i am still waiting for my refund and they picked up the mattress almost two weeks ago. and they didnt even want to pick it up.",1 out of 5 stars review
1/29/2012,"Bought this full-size mattress for my adult son who is over 200 lbs. The mattress performed fine at first, but after about a month coils began collapsing and coming loose.",1 out of 5 stars review
1/23/2024,Came in good time easy to open and take out. The mattress itself is not comfortable for me at all. I figured I'd give it time maybe it's just me but it's been months and it's extremely uncomfortable haven't had a good night sleep at all.,1 out of 5 stars review
4/18/2014,"I bought this mattress after carefully looking at all the Reviews, and it seemed that it would be reasonably firm. But this bed is way too soft for my comfort. I am 180 lbs, and seem to sink into the mattress. Every morning, I wake up with a back ache (which was not there with my previous mattress), and after trying it for two weeks patiently, not much has changed. Wonder if I can return it at this stage...",1 out of 5 stars review
12/18/2013,"The item was delivered on time and the packaging was in good condition however mattress was not as depicted in the original offer and after the 48 hour expansion period it remained misshapen.
The item is to be returned and I have requested a replacement which is as described in the original offer.",1 out of 5 stars review
