date,text,stars
10/8/2022,"at first 5 stars,  now less than 1 yr later the sides are breaking down so bad that our queen bed is now more like a full mattress.  horrible.  my husband is only 5' 7"" and 170lbs, totally unacceptable.  of course to late to return. beware before you buy.",2 out of 5 stars review
10/3/2020,"Comfortable, but not stability. The mattress began to sink after a couple days. Would like to return",2 out of 5 stars review
9/20/2022,"The shipping was not handled with care, it was left in the rain and the box was destroyed. I had to take it out of the box and carry it up stairs bevy the box was tearing up the plastic on the mattress.",2 out of 5 stars review
10/23/2021,"The mattress can't support my weight… and I am only about 110lb. When I get off the mattress, there will be a pit leaving in the mattress, and it doesn't bounce back. It is not firm at all, and I believe even soft mattress should still support well. This mattress does support.",2 out of 5 stars review
12/21/2022,"the mattress was fine, however the delivery pro c ess was not.  The mattress came the day after it rained. the box arrived damaged and mattress exposed to rain.",2 out of 5 stars review
11/16/2023,"This is honestly the hardest mattress I can ever remember sleeping on. Ever! I ordered it because the plush-medium mattress in a box I also ordered from Walmart a couple of years ago (which I loved) was out of stock and I needed something ASAP-and it was all I could afford at that moment. At first it seemed alright, like something I could tolerate for a few months, but as the *month* wore on, so did the tightness of this mattress! It literally feels like we're sleeping on a board! I wake up with a sore back and side almost every day! If you are looking for a mattress that has very little give and is extremely tight, then this is for you! But, if  not...keep looking!",2 out of 5 stars review
1/31/2013,"it was a strange, otherworldly experience opening this box with a mattress in it. it was more than vacume packed, was easy to open, seemed packaged well and was entertained watching it grow like one of those toy sea monkeys in a container. inner springs seems comfortable enough, though do not feel as sturdy as a standard twin mattress, works fine for my very light weight 8 year old, so for now and then next 3-5 years or so, i think it will suffice.",2 out of 5 stars review
9/15/2023,"The mattress is pretty firm and it's easy to tell will only last a year due to cheap materials. The mattress comes vacuum sealed, tightly wrapped in plastic, in a box, in another box. What a waste. Anyway, both boxes and the plastic were pristine. The vacuum seal bag and mattress though have a huge gash.",2 out of 5 stars review
10/21/2023,"Love the bed in a box concept, loved the sale price of $70… however it's not a good mattress. You get what you pay for. Will be using in a guest room as soon as I get a better one for myself. If I paid any more money for it I'd go through the hassle of returning it. 
Super soft, I can feel the hybrid coils, dang near sink to the bottom and I'm average sized. Way too soft and squishy in my opinion. Provides zero support.",2 out of 5 stars review
3/11/2017,The mattress came vacuum sealed. Very little to no effort to unwrap it and deflate it! It sleeps nice. True queen sized.  The only con I see is that it is a little too firm for me. I've had it about 2 weeks now and some mornings it doesn't feel like I've slept on a mattress. It feels more like I slept on the floor. I would recommend this mattress to anyone who likes a firm mattress. Since its still fairly new I will wait a while to see if it softens up then I will rate higher. Its the average bang for your buck though.,2 out of 5 stars review
1/20/2017,"I'm sure I put the mattress under some stress at times, but I've never owned a mattress that would sag in the middle this badly after less than 2 years.  I tend to sit on the bed while I'm doing other things and I tend to sit in the same spot... well after a year  to a year and a half,  that resulted in a sagging spot where I would sit which then would cause my back to ache.  

I tried flipping the mattress over in case that would help but it felt worse on the other side and didn't do anything about the sagging problem.  It's a decent enough mattress for the first year but starts to wear down after that.",2 out of 5 stars review
1/6/2014,"Opening the mattress was a lot of fun -- it does explode and then suck in the air like some strange life form. It's decently comfortable, though not as firm as I would've liked (especially around the edges). But it has one fatal flaw: it's too small. I bought a queen, which is supposed to be 60 inches wide, but the mattress is only 58 inches wide. This might not seem like a big deal, but it means that fitted sheets sag, and the bed frame sticks out a shin-destroying inch on either side. It's really a shame because otherwise it's a pretty decent mattress, and enticingly cheap too.",2 out of 5 stars review
1/7/2014,"I bought a queen for my mom, but only a few days later she started having body aches after waking up. You can even feel the springs inside the mattress. Finally, she decided to go back to the traditional pillow top mattress.
We spend 1/3 of our lives on our mattresses (more than we do in our car). So therefore its important we get good mattress even if it costs a little extra!",2 out of 5 stars review
2/4/2014,"The Slumber bed appearance was great, packaging & shipping was easy, the mattress fully opened up in about 20 mins. However I would not recommend the mattress for every day use, because I can feel the mattress springs and its uncomfortable. I'm currently in the process of trying to figure out how I can return this to Walmart since it is out of the box and its a full sized mattress now. (It came vacuumed sealed so it was about 2"" wrapped in the box)",2 out of 5 stars review
7/5/2016,"I bought it based on the good reviews
The mattress is not so firm as it is supposed to hold your back
I am  180lbs, and it does not have much support.
If I sit on it, I sink, it smashes down, The springs are too weak.
Mattress is too soft on the sides, no edge support .
If you're looking for firmness, this product is not for you.
Invest in something better quality",2 out of 5 stars review
