date,text,stars
3/19/2023,"This is a great mattress for the price! Honestly, very impressed! It came in a large box, 40”tall x 15”x 15”, heavy but not too heavy (I'm not that crazy strong of a female and I managed). The mattress comes rolled up crazy tight, so when you CAREFULLY cut it open, you can hear the air escaping and watch the mattress “air up”. It's actually pretty cool to watch, my son got a kick out of it. When first seeing and pushing on the mattress once it was laid out, I was a bit worried it wouldn't be soft enough. So we sat the mattress up against the wall for a couple days, longer than the recommended time, and by then it was fluffed and ready to be slept on comfortably. You could definitely see the quilted top by then. Probably would've been fine a...",5 out of 5 stars review
11/14/2023,"I love this mattress it's outstanding it came packaged well I mean it's easy to follow instructions. All you have to do is just cut off the plastic and let it air out and oh my God, you talk about the best night sleep or nap ever I love this mattress this is great . It's worth your money.",5 out of 5 stars review
5/14/2013,"The bed is really easy to move around since it is compacted into such a small box. It inflated very quickly. As soon as I took it out of the box and unrolled it, it immediately started expanding to its original size. The bed is very comfortable and there is no weird smell or anything like that. It's an excellent purchase considering how inexpensive the bed is. I'm extremely satisfied with the bed. ""Bed in a box"" sounded pretty sketchy to me but its totally fine after you take it out and let it expand.",5 out of 5 stars review
8/27/2016,"This mattress is very comfortable and soft. Purchased for our daughter's off campus apartment. The mattress is shipped rolled up, but expands once the plastic is removed. I would definitely purchase this brand again, as well as recommend it. Believe the ratings, because not only are they accurate, they played a big part in my purchase. Don'the forget to purchase the bundled frame.",5 out of 5 stars review
8/11/2016,"I bought this mattress for my daughters bed (twin size) and it is so much nicer than I expected! I wasn't sure about a ""mattress in a box"" but it's very soft, plush, and comfortable. We have only had it a week so not sure how it will hold up in the long run but great deal for $90!",5 out of 5 stars review
7/21/2021,"super dooper amazing find! I read reviews , look at pics, and sometimes go against what others wrote and try it myself.  But I had my eye on this mattress for a while . I decided to purchase a trundle bed Full size top and twin bottom so I said let me buy it. I bought it when the shipping was free!! anyways,  It came in a tall box and it has some weight 40-50lbs . I slowly unraveled it and read the directions.  it comes with specific directions so you must read..so I opened with caution because it is zipped airtight...it slowly unrolled on my flat carpet on top of the plastic it came in. and Walaaa....it was 8"" within 4 minutes.  As far as the smell,  not crazy but I had my lysol ready so I sprayed away. Now, the coils are visible and you c...",5 out of 5 stars review
12/15/2016,This was purchased for a 3-year old's first ' big girl' bed!! Could not believe this mattress could be rolled into a box!! When unwrapped it began to 'inflate' and soon was nearly to size. Directions say it takes 48 hours. Anyhow her mommy kind of took it over and raves over the comfort!!! Mommy was evicted!!!,5 out of 5 stars review
2/6/2012,"I have a day bed frame and was looking for comfortable mattresses to use on them. I read the reviews and was impressed. It is true these mattresses are so comfortable. My day bed has a pop-up trundle bed that folds under it. The mattresses were bought for my guest room so that I can use it as a studio couch in my office on a daily basis and when I have guests it opens into a king sized bed. I had to test them out to make sure they were good enough for my guest, and they are. I slept like a baby.
Thanks Walmart
Rumpoint",5 out of 5 stars review
9/23/2023,Some of the other reviews weren't great so I was kinda nervous but I have no complaints so far for this mattress. Didn't take long at all to inflate (I did not wait the recommended 48 hours before sleeping on it) haven't measured it but seems it's reached the height it's supposed to be. (8inches) definitely comfortable and soft. I would buy again.,5 out of 5 stars review
3/30/2017,Great Option. I bought this online and was a little thrown off as it arrived in a little box and thought they had shipped the wrong thing. When I opened the box it was vaccumed sealed to 1 inch flat and rolled up like a barrito. I thought there is no way that's a whole mattress. But once the seal was broke it popped open to full size like a river raft it was actually pretty cool. The mattress felt really good firm but soft I was very impressed and may by another one for another bedroom.,5 out of 5 stars review
