date,text,stars
11/10/2023,"it isn't super clear that this straw is in two pieces - the top part is silicone. i much prefer plastic, especially since the top of this straw has an emblem which feels weird when you drink from it. doesnt keep ice particularly colder than other stainless steel bottles. much prefer my Reduce cup instead.",3 out of 5 stars review
11/24/2023,"It's great, but came in a repacked box and not in an original box like the other 9 I ordered. This item is scuffed up and looks like it was pulled off the floor. I'm giving this item away as a gift and will need to go into the store to exchange 
Why would someone send me a scuffed up 20 dollar cup?",3 out of 5 stars review
9/29/2023,"Good size, bigger would have been too heavy when full. There is a small, permanent blue smudge on this one that I can not remove. The cup doesn't keep ice solid as long as I expected, but it's ok. The thing I do not like is that it is hard to position the lid with the straw to a selected spot, right side or left side. The top screws on, hard to control where it stops. I do like the handle, comfortable to hold.",3 out of 5 stars review
12/19/2023,I really liked the tumbler specially because it was a gift for my kids teacher and her favorite color is purple but when it arrived it didn't have the straw,3 out of 5 stars review
4/20/2023,"Filled with ice at 6 o'clock this morning by 10 refilled, just picked up my cup for a drink melt it again
I was able to sublimate on it, so that's a plus
I really like the straw… 
However, I want ice cold water

Not terrible for $15 but not great either",3 out of 5 stars review
3/13/2023,"Keeping ice cold is all that this cup has going for it. The handle is plastic and on the upper handle where the screw is it is cracked, whete the bottle handle connects to the cup it is dented so there is a gap between the handle and cup. Not a very good design.",3 out of 5 stars review
3/6/2023,"This is quite large but not as heavy as a person would think.  It does keep contents warm (started at 180 degrees and maintained for 30 minutes.)  It does not fit in standard car cup holders, unfortunately, which I presume is the reason for the shape.  We tried it both our cars and it did not fit either one.",3 out of 5 stars review
2/5/2024,Doesn't hold ice long. But overall love the color and style,3 out of 5 stars review
9/20/2023,The cup however not worth 19.99 the handle broke 4 weeks in . Still use it just wish the handle wouldn't of broke. Ice last 24 hours plus .,3 out of 5 stars review
5/2/2023,The cup does keep drinks hot or cold. However about 1 month in the handle came apart.,3 out of 5 stars review
11/11/2023,"fell off my car while i was unpacking groceries 3 days after i bought it. bottom is now slightly dented so it doesnt sit right and the lid broke. they dont seem to sell replacement lids, and i tried a brand off amazon and it didnt fit so now the cup is useless to me an ill have to buy a replacement.",3 out of 5 stars review
2/9/2024,"No problem w/car cup holder nor breakage of handle.  While other reviews cite the convenience of transfer from fountain drinks into this container, I like my water to stay cold.  This doesn't insulate drinks for long, so I prefer stainless steel.  I had no problems drinking through the included straw, but buying a set of extras is a smart backup.  The lid stays on firmly.  Overall,  I'll get my money's worth more than the highly-touted brand.  it's better than the wastefulness of buying vending machine water.",3 out of 5 stars review
7/6/2023,"Keeps drinks very cold and ice frozen for a long period of time.  I bought this as a joke because my daughter raves about her ""Stanley""... Unfortunately the handle snapped on it after a couple weeks.  I still use it, but its still broken even after trying to reattach.",3 out of 5 stars review
1/6/2024,"I ordered a purple one and a green one. The purple was great! The green one was uneven on the bottom so it rocks when you place it down. Also, the handle is a different shade of green than the rest of the tumbler. It had a faded cheap look to the handle. Very disappointed.",3 out of 5 stars review
