date,text,stars
3/28/2023,I was so excited for this cup mainly because I can’t afford the “Stanley” one but also this brand has never failed me In the past it always kept my drinks cold for a long period which this does but unfortunately I wanted the handle and fit in my car cup holder which it did but in less than a week of using it the handle snapped where it’s welded prior to it snapping when I first got it the handle always felt slightly loose and wiggly. I’m so sad I really was bragging about how I love this cup:( till this!,2 out of 5 stars review
11/27/2023,"Not a bad cup. I'm not one to use ice, so I'm not sure how insulated it really is. The straw is interesting? And the lid is a bit irritating to get off sometimes, but my yeti is the same way. My main problem is it's supposed to be dishwasher safe. This is only the 2nd time it's been in the dishwasher... ???",2 out of 5 stars review
8/30/2023,"I have ordered this white tumbler twice now and each time it has either been dented or have marks on it which won't scrub off. I don't know if the tumbler was like this before it's placed in the box or if it happened during shipping but if it was just placed in there like this can we get some kind of quality check with our orders?  (I've included a pic, this was after me trying to scrub it clean.)
I'm frustrated because I was hoping to have this for my niece's birthday, but I can't give her a damaged gift.",2 out of 5 stars review
4/6/2023,"For the price, this cup is great! However, I’ve had it about a week and with normal usage, the finish is already chipping off the bottom. I believe this is from simply putting it in the cup holder in my car.",2 out of 5 stars review
3/2/2023,This cup was the perfect size and color. The top of the handle was missing the clip to keep it attached to the cup. This could not have been a shipping issue and was most definitely a manufacturing issue. The cup would've been perfect if not for it being broken and unusable. I have other cups from this brand that perform excellent.,2 out of 5 stars review
10/11/2023,The cup is great all around but within 2 weeks the handle broke off.. :(,2 out of 5 stars review
2/9/2024,"I always have a basic CLEAR chapstick on, but from literally day 1 of using this cup it's stained the silicone straw. It's ridiculous. I regularly wash this cup because I have a rotation of cups I use. There's only ever just plain water in it. No flavored waters. No soda, juice, tea, NOTHING but water. That's it. Why on earth would this straw look so dingy the first day? Especially when it's regularly washed and kept clean and only has water in it?",2 out of 5 stars review
1/15/2024,"This tumbler kept water cold all day, the straw is flexible on top but rigid inside the tumbler, and it feels sturdy. Unfortunately the rubberized coating on the outside became completely tacky and sticky to the touch due to the label/display stickers. Nothing we tried could take the stickiness away, so it's useless now.",2 out of 5 stars review
1/16/2024,"I saw the good reviews on this and thought I would give it a try.   I think I got a dud.  I had high hopes because I have the name brand crazy cup and it holds ice for 48 hours.  With how crazy everyone is being over them I thought this would be a great alternative.  I chilled my cup first and then added a huge chunk of ice to it.   The ice didn't even last 12 hours.   With my “crazy” brand cup, I get 36-48 hours usually.   It was worth a shot, but didn't work for me.  I gave it away.",2 out of 5 stars review
12/11/2023,"I'm pretty upset with this cup, I ordered this for work purposes so that I could drink water. And have a cup that was 40 ounces to have in my car that fit in my cupholder. Of course that will happen, however, I ordered this online and got same-day shipping, it was delivered quickly, but it was delivered without a straw, so I have no straw for this Tumblr.",2 out of 5 stars review
11/27/2023,"Great cup and great sale price.  However, I didn't realize Walmart was going to charge me a $6 under price fee and $25 shipping fee.  I didn't see the fees until I submitted payment and got payment confirmation email.  I would have been better off paying full price at the store.",2 out of 5 stars review
10/31/2023,"I noticed this cup doesn't keep ice near as long as another Stanley dupe that I have. I have another off brand and after putting ice in it and leaving it in my car, it still had ice the next morning. With this cup, the ice is melted within a few hours and it's been inside at my desk.",2 out of 5 stars review
